Query,JD
Maintenance Technician,"<p>Our client company is a stable and profitable organization, and the last 18 months have been absolutely outstanding! Our partner is a Tier-1 Automotive Supplier, and over the past year, has seen their production skyrocket because of demand. The Automotive Industry is making a gradual and steady comeback, and my client is certainly exceeding their expectations they have for themselves in 2012!<br />\r<br />\r</p>\r<p>They are a leader within the manufacturing of structural body and suspension parts, and have immediate openings for Maintenance Technicians. This position reports to the Maintenance Manager.<br />\r<br />\r</p>\r<p>The opportunity to join this organization comes with the potential for serious growth advancement. Our partner has aggressive plans to continue to grow and expand their operation, and improve their existing Product Line. Since the facility opened over 10 years ago, the company has grown their facility from 200,000 sq. feet to over 400,000 sq. feet! They have also tripled their revenue!<br />\r<br />\r</p>\r<p>If you have experience working as a Maintenance Technician within a Manufacturing Environment, and, have the desirable personality traits and qualities to match the drive and ambition to be successful, this may be the position for you! Please respond with your updated resume- we look forward to hearing from you soon!</p>"
Financial Analyst,"<b>Responsibilities:</b> Kforce is currently assisting a client in Kansas City, Missouri in the search for a qualified Senior Financial Analyst for an immediate need.\r\n\r\nMain Duties:\r\n<UL><LI>Preparation of financial operations / statements</li>\r\n<li>Generation of reports and presenting data</li>\r\n<li>Advising Sr. Finance in issues such as effective use of resources and assumptions underlying budget forecasts</li>\r\n<li>Maintenance of accurate records in database</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~NRC~1135366T1~99"
Java Developer,<BR>\r<TABLE border=0 cellSpacing=0 cellPadding=0 width=565>\r    <TBODY>\r        <TR height=15>\r            <TD colSpan=5>HSI & The Department of Commerce (DOC) is seeking to fill a short term approx. (6) month contractor assignment to provide computer programming services relating to the implementation of secure web (Java EE) interface for the data entry of 1st and 2nd report of injury for workers compensation claims; and a solution for the electronic document submission process. The selected candidate will also provide complete coverage research; including a data feed from the Rate Bureau. Provide a web based public facing solution for the purpose of electronic payments to process WC forms requiring fee processing payment up-front at time of electronic document submission. This candidate will work with agency staff to develop test plans and ensure successful testing and validation of all developed solutions.</TD>\r        </TR>\r        <TR>\r            <TD colSpan=5>\r            <P>??</P>\r            <P><STRONG>job updated on 4-5-12</STRONG></P>\r            </TD>\r        </TR>\r        <TR height=15>\r            <TD class=Header colSpan=5></TD>\r        </TR>\r        <TR height=15>\r            <TD colSpan=5>??</TD>\r        </TR>\r    </TBODY>\r</TABLE>
Physical Therapist,"Therapist will provide both outpatient and in-patient services in a community based atmosphere. \r\nUnder the direction of a physician order, plans and implements specific physical/occupational therapy evaluation and treatment plan programs.  The treatment is based on the patienta??s physical, developmental and psychosocial needs.  Provides advisory service to other team members to provide quality patient care. \r\n\r\nGraduate of an accredited M.S. degree program in Physical Therapy. \r\nMust hold current licensure in the State of Missouri\r\n\r\nExcellent benefit package to include;  sign-on bonus and TUTION REIMBURSMENT program. Health, Dental, and Vision insurance. Paid time off, Sick time, 401K plan, long term and short disability options, as well as a friendly and professional environment."
Java Developer,"<b>Responsibilities:</b> Please note; the selected candidate must be willing to split time between New York, New York and Wilton, Connecticut. This position for a strong Java Developer with an Oracle (PL/SQL) background. The Developer will be responsible for designing, architecting, and implementing comprehensive business-facing solutions. The Developer should be hands-on and proficient in programming skills. He / She will also be expected to mentor team members and work with different development teams; the off-shore team, and DBAs as well as Database and ETL Developers. The successful candidate should be a strong believer in code reviews and testing practices along with efficient development.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1140952T1~99"
Receptionist,"<b>Responsibilities:</b> Kforce is seeking a Receptionist for a temporary to permanent position in Palm Beach County.  This person will be responsible for answering incoming calls, routing calls to appropriate department or employee, greeting customers or clients, performing mail duties, and performing data entry.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1140892T1~99"
Project Manager,"<b>Responsibilities:</b> Our client is currently seeking a Project Manager in Madison, Wisconsin. Candidates should have experience implementing an educational data warehouse.\r\n\r\nMain Duties:\r\n<ul><li>Designs, plans, and coordinates work teams</li>\r\n<li>Follows standard project management industry practices such as the PMI's framework</li>\r\n<li>Understands business and technical objectives of a project and works closely with project sponsor</li>\r\n<li>Creates project charter and work plan and tracks budget and schedule progress via appropriate metrics</li>\r\n<li>Establishes project organization and methodologies and defines roles and responsibilities</li>\r\n<li>Documents risks and develops mitigation plans</li>\r\n<li>Manages scope</li>\r\n<li>Creates and implements a communication plan</li>\r\n<li>Builds an effective team, assigns tasks to team members, and evaluates outcomes</li>\r\n<li>Negotiates resources</li>\r\n<li>Communicates to stakeholders and project sponsor</li>\r\n<li>Identifies, tracks, and ensures resolution of issues and removal of barriers</li>\r\n<li>Provides technical support to project team members</li>\r\n<li>Handles complex application features and technical designs</li>\r\n<li>Designs and implements the components required for complex application features</li>\r\n<li>Generally manages a group of applications systems analysts</li>\r\n<li>Relies on experience and judgment to plan and accomplish goals</li>\r\n<li>Professional certification is highly desirable</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1138060T1~99"
Maintenance Technician,"Sonoco Products\r\n      - Direct Hire -\r\n      Maintenance \r\n      Technician\r\n      Multi-crafted individual who can demonstrate \r\n      expertise in PLC, freq drive, electrical, \r\n      fabrication, machine shop, trouble shooting and repairing industrial equipment. Evening shift. Excellent benefits. \r\n      \r\n\r\nPlease send resume\r\n      to: maintenance615@\r\n      yahoo.com\r\n     <BR><BR>Source - Murfreesboro Daily News Journal"
Store Manager,"<p> <strong>Store Manager</strong></p> <p> <strong>Opportunity knocks at the Lakeshore Learning Store. Are you ready?</strong>\r\n Lakeshore Learning Materials is one of the premier manufacturers of educational materials for elementary programs and early childhood organizations around the country. A multi-channel distributor with a strong sales division, thriving web business, catalogs and over 50 store locations nationwide, Lakeshore has experienced continuous growth since its inception in 1954.</p> <p> Job Summary\r\n You dona??t need a background in education, but a desire to learn is essential! As one of our store managers, you get to develop a first-class team, implement plans to maximize store sales, and provide our customers with an unforgettable retail experiencea??all in a fast-paced, fast-changing environment that demands operational expertise. Sound challenging? It is. But with success comes reward.</p> <p> <strong>Providing great customer service isna??t just a goala??ita??s the essence of who we are.</strong>\r\n Our energetic and friendly approach to exceeding each customera??s expectations is a hallmark of over 50 Lakeshore Learning Stores nationwide. Each customer knows that walking through our doors means experiencing unbeatable service with an amazing depth of product knowledge every time they visit.</p> <p> <strong>Lakeshore Learning Store managers have a knack for leading by example.</strong>\r\n In fact, this is the glue that holds our successful retail team together. No job is too small to tacklea?|and no team success is too small to celebrate.</p> <p> Responsibilities\r\n <strong>Building Talent</strong>\r\n a?ก้ Recruit and develop an engaged, sales-driven team\r\n a?ก้ Provide your team with consistent coaching and growth opportunities</p> <p> <strong>Building Service Standards</strong>\r\n a?ก้ Surpass expectations regarding customer service\r\n a?ก้ Seek and communicate customer feedback in regard to school and home use of products\r\n a?ก้ Build a unique and lasting relationship with customers</p> <p> <strong>Building Revenue & Operational Excellence</strong>\r\n a?ก้ Maximize sales and manage controllable expenses\r\n a?ก้ Maintain visual presentation of merchandise and signage\r\n a?ก้ Maintain company expectations regarding retail policies and procedures</p> <p> Essential Skills & Attributes\r\n a?ก้ Passion for providing excellent customer service\r\n a?ก้ Positive and proactive approach to management and working as a team\r\n a?ก้ Excellent communication and training skills\r\n a?ก้ Exceptional time management and organizational skills\r\n a?ก้ Ability to demonstrate company standards and reinforce them with entire team\r\n a?ก้ Strong desire to recognize and reward achievementsa??big and small\r\n a?ก้ Capacity to give regular and clear feedback to team\r\n a?ก้ Ability to provide and receive constructive criticism\r\n a?ก้ Capacity to multitask in order to meet simultaneous demands</p> <p> <strong>Requirements</strong>\r\n a?ก้ 3a??5 years retail management experience\r\n a?ก้ Ability to work flexible schedule, including nights and weekends\r\n a?ก้ Knowledge of retail POS systems</p> <p> Benefits Package\r\n <strong>Your investment in us deserves a benefits package to match!</strong>\r\n a?ก้ Competitive salary\r\n a?ก้ Comprehensive medical/dental plan\r\n a?ก้ 401(k) retirement plan\r\n a?ก้ Generous employee discount\r\n a?ก้ Quarterly bonus program</p> <p> This is your chance to work with a dedicated team in a thriving retail atmosphere! To apply, please complete an online application at <a href=""http://tbe.taleo.net/NA1/ats/careers/requisition.jsp?org=LAKESHORE&amp;cws=1&amp;rid=531"" target=""_blank"">http://tbe.taleo.net/NA1/ats/careers/requisition.jsp?org=LAKESHORE&cws=1&rid=531</a>. To learn more about Lakeshore, visit <a href=""http://www.lakeshorelearning.com"">www.lakeshorelearning.com</a>. Equal Opportunity/Affirmative Action Employer</p>"
Project Manager,"Project Manager Job  \r\n<p>An Engineering & Construction Firm in Birmingham, AL is seeking a Sr. BIM Manager / VDC Integration Specialist for an immediate direct hire opportunity to lead multiple healthcare facility construction projects. The right candidate will have 5-10 years experience in Virtual Construction Integration using Navisworks Manage. </p><p><b>Responsibilities</b></p><ul><li>Lead teams to successful BIM construction collaboration efforts to include Construction Sequencing, data mining from the BIM models and costing/post construction </li><li>Coordinate with Architects, Engineers, subcontractors in the pre-construction and construction phase</li><li>Some creation or modification of BIM drawing as needed</li><li>Face to face client interaction</li></ul><p><b>Requirements</b></p><ul><li>Associates in Building Science, Construction Management, Civil Engineering, Architecture or related experience, Bachelors degree preferred</li><li>5+ years experience with BIM Technology and/or related design/graphics software on multiple construction projects</li><li>Working knowledge of Navisworks (a must have), Revit Architecture, MEP, Revit Structure, Autocad and/or other 3D Design Software</li><li>Proficiency in reading construction blueprints and interpreting documents for all design disciplines</li><li>BIM Management and/or Estimating Experience within the Healthcare Facility Construction Industry is a big plus</li><li>Team player with leadership attributes; Good time management skills and proven ability to meet tight dead lines; Drive, initiative and a positive attitude</li></ul><p><b>Benefits</b></p><ul><li>Excellent medical, dental benefits and 401K </li><li>Business casual dress while in the office;  when in front of clients a tie will be needed.</li><li>Salary range is $80,000 - $100,000 with an average of 8-10% company performance bonus</li><li>Growth opportunity available</li></ul> \r\n\r\n  Keywords: commercial buildings, buildings, retail, commercial, hospital, office, facilities, facility, high rise, gymnasium, casino, clinic, warehouse, courthouse, court house, mall, multi-story, dormatory, condominium, villas, shopping center, medical facilities, shopping centers, airports, sports complexesconstructionsenior estimator, junior estimator, construction estimator, electrical estimator, chief estimator, estimating manager, estimating department, cost estimator, cost estimating, construction estimator, project estimator, mechanical estimator, cost engineercost control, cost controls, control costs, cost specialist, cost engineer, cost analysiscivil engineering degree, degree in civil engineeringmechanical engineering degree, degree in mechanical engineeringconstruction project manager, director of project management, construction director, director of construction, construction project manager, vp of construction, president of construction, construction program manager, drafter, cad operator, cad technician, draftsperson, autocad drafter, cad drafterproject manager, project engineer, product engineer, product leader, project managementproject manager, project engineer, product engineer, product leader, project managementsenior estimator, junior estimator, construction estimator, electrical estimator, chief estimator, estimating manager, estimating department, cost estimator, cost estimating, construction estimator, project estimator, mechanical estimator, cost engineerhospital, medical, clinic, healthcare, health care, patient care, managed care, rehabilitation, blue cross, physician, therapy, hmo, hbo, medaphis, first data, construction supervisor, construction manager of constriction superintendent, construction engineer, supervised construction project manager, site project manager, construction site managerproject manage, project leader, project manager, project engineergnatt, pert, cpm, gert, project life cycle, wbs, work breakdown structure, project plan, project stages, project requirement, project implement, cost control system, project implement, revit, bim, autocad mep, 3d, navisworks, navis works, navis, coordinator, coordinate, pre-construction, blueprint, office, timberline, estimate, manage, autodesk, virtual design, virtual construction, healthcare, health care Project Manager Job"
Physical Therapist,"<b>Job Description </b><br>\r<br>\r<b>\r<center>Join A team Of Phenomenal Outpatient Orthopedic Clinicians!</center></b><br>\r<b>\r<center>PART-TIME or PRN PHYSICAL THERAPIST<br>\r<br>\r<b>RICHMOND, VA.</b> </b></center><br>\r<br>\r<center><a href=""http://www.concentra.com/employers/physical-therapy/"">www.ConcentraPT.com</a>&nbsp;&nbsp;&nbsp; (800) 232-3550</center><br>\r<br>\r<center></center><b>Our philosophy</b> is a focus of dynamic early intervention (seeing patients typically within 1 to 3 days of their injury - no chronic pain). It is a hands-on sports medicine approach to musculoskeletal medicine. We employ highly motivated therapists who understand customer service towards patients and the employers we serve. <br>\r<br>\r<b>Concentra Physical Therapy </b>offers therapists the opportunity to provide care to the private/group health and Occupational Medicine patients as well as providing Wellness services to the general population.<br>\r<br>\r<b><span style=""text-decoration: underline"">BENEFITS SUMMARY</span></b>\r<ul>\r    <li>Career advancement pathway\r    <li>Excellent work/life balance: Mon. thru Fri. schedule\r    <li>Competitive compensation packages\r    <li>Evidence based practice\r    <li>Treat and evaluate patients </li>\r</ul>\r<br>\r<br>\rSuccessful candidates will be those who exemplify the welcoming, respectful &amp; skillful behaviors that support our Company focus on excellence in health, wellness, customer service and a passion for lifestyle change.<br>\r<br>\rPlease contact Anita Young for additional information (or apply on-line): <a href=""mailto:Anita_Young@Concentra.com"">Anita_Young@Concentra.com</a> 800-232-3550 ext. 76462<br>\r<br>\rEOE<br>\r<br>\rThis job requires access to confidential and sensitive information, requiring ongoing discretion and secure information management.<br>\r<br>"
Senior Accountant,"<b>Responsibilities:</b> Kforce Finance and Accounting is presently seeking a Senior Accountant for a fast-paced, exciting entertainment company in the Burbank, California area. If you're looking for the opportunity to obtain large company experience in a team-oriented environment with a great community feel, this is the job for you. This permanent, full-time position offers excellent benefits and pays up to $70k.\r\n\r\nThe candidate will be responsible for overseeing essential accounting functions, preparing P&L, journal entries, preparing internal and external audit schedules, bank reconciliations, month end close, accruals, and assisting with special projects as assigned.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~WQG~1129224P1~99"
Maintenance Technician,"<p><span>Maintenance Tech </span></p>\r<p><span>Pasadena Area</span></p>\r<p><span>$14-21 per hour (depending on experience)</span></p>\r<p><span>Temp to Hire opportunity</span></p>\r<p><span><br>\rOur trusted client in Pasadena is looking for a long term employee to work in a Maintenance-type position. This person will change light bulbs, clean as needed, fix small issues with plumbing, and other duties in the office. This person will also have to change belts on the CNC machines, order parts needed both in the office and warehouse, and set up appointments if something needs to be fixed by a professional. Position pays between $14 and $21 per hour, depending on experience. This person will be working the 7-3 or 4 every Monday through Friday. Our client is looking to hire immediately, so if you have this type of experience, we hope to hear from you soon! Please send resumes to <a href=""mailto:rlangford@meador.com"">rlangford@meador.com</a> and <a href=""mailto:awright@meador.com"">awright@meador.com</a> today!</span></p>\r<p>&nbsp;</p>"
Physical Therapist,"The Physical Therapist provides physical therapy treatment and patient care according to hospital, state, professional and federal regulations and guidelines. In addition, the position:<BR> ??<BR> - Requires effective communication skills for working with patients, families, caregivers, and departmental and interdepartmental relationships.<BR> ??<BR> - Requires competency in physical therapy evaluation, assessment, care planning and treatment.<BR> ??<BR> - Requires task delegation and supervision of physical therapist assistants and technicians.<BR> ??<BR> - Maintains open and on-going communication with hospital departments to ensure patient, staff, and hospital needs are met. The Physical Therapist creates an environment and culture that enables the hospital to fulfill its mission by providing patient safety and patient-centered treatment.<BR> ??<BR> ??<B>Benefits</B><BR> <STRONG></STRONG>??<BR> To attract and retain the best professionals, we offer a comprehensive and competitive Benefits package that includes medical, dental, vision, 401(k), college savings plan, employee assistance program, pre-paid legal plan and much more.?? For more information on available Benefits, please click here.<BR> ??<BR> ??Who will you treat? We are an acute rehabilitation hospital setting. Typically our therapist can expect to spend an average of 2-4 weeks with our patients treating a wide clinical caseload such as: stroke, spinal cord injury, brain injury, various neurological disorders, rheumatoid arthritis, osteoarthritis, amputation, joint replacement, fractures, multiple trauma, cardiac conditions, and pulmonary conditions. 80% of our patients are discharged directly home.<BR> ??<BR> ??We use evidence-based practice guidelines to treat our patients.?? We utilize our clinical outcomes to asses and improve our treatment interventions and programs. We participate in a national outcomes database, which provides benchmarks and sophisticated outcome reports to help us continually analyze and improve our patient outcomes.<BR> ??<BR> You will use??standard and advanced therapy technologies- depending on hospital location, some equipment used such as Auto Ambulators, Bioness, Interactive Metronome, Hand Mentor, SmartStep, Anodyne, Wii and CAPs may be available.<BR> ??<BR> ??Helping you become a better therapist is critical to our success <BR> ??<BR> - You will be paired with mentors; attend in-house as well as external educational programs. The treatment team is made up of full time therapists, nurses, social workers, pharmacists and medical staff; a great way to learn beyond your own discipline.<BR><BR> <BR>"
Senior Accountant,"<P><SPAN>Stephens Little has partnered with a major franchise owner with over 400 locations from coast to coast in a search for a senior accountant.?? They are continuing to grow through acquisitions in various states. <BR>\r<BR>\rEssential Job Functions:<BR>\ra?ก้ Coordinate with Divisional Controllers and other accounting personnel to ensure the companya??s records are correct for the preparation of financial statements.<BR>\ra?ก้ Accurate reconciliation of general ledger accounts: AP other, Capital Leases, LT and Prepaid Insurance, Intangibles, Sales & Use Tax, and Advertising with investigation of differences and correcting entries<BR>\ra?ก้ Accurately perform a second review on other balance sheet accounts not performed by the original accountant<BR>\ra?ก้ Accurately performing closing of general ledger modules according to monthly time frame<BR>\ra?ก้ Coordinate the workflow of the reviewing of store P&La??s from start to finish.?? Communicate daily to Controller/Divisional Controller of status<BR>\ra?ก้ Calculate FAS13 for new leases.</SPAN></P>\r<P align=left>??</P>"
Project Manager,"NOTE: This position to be located at Sterling Heights, MI. <BR>\r\n \r\n \r\n As a member of the PM Capability Development team, the Project Manager is responsible for partnering with programs, projects and functions to assist them in executing and exceeding financial targets by defining and embedding a new standard for project management across the Sector. The Project Manager will:<BR>- Partner with Product Lines and Business Areas to improve the standards of program execution. This will be undertaken by targeting areas of deficiency identified through Contract Reviews and Phase Reviews as well as responding to requests for assistance. <BR>- Work with the counterpart Business Risk and Opportunity Management team to bring more PM discipline into the functions for internal projects.<BR>- Facilitate sharing of practice in partnership with IM&T and Comms through the use of technology and social media as well as forums such as an annual L&A PM conference.<BR>- Serve as PM SME for business-wide initiatives that require PM input."
Project Manager,"<b>Responsibilities:</b> The Project Manager will be supporting 2 senior VPs during this project. The client recently hired a company to evaluate their existing processes. This portion of the project is complete and now they need a PM to help implement and drive change management.\r\n\r\nThe Project Manager will be responsible for overall project management: action items, tracking, metrics, deliverables and ensuring progress to plan is achieved, management updates and escalations as well as supporting the change management & communication associated with the project. This position will work with various individuals on the open items of the plan, project reporting and tracking, analysis and metrics. There are change management and communication activities associated with this project.\r\nThis will be across the organization / business units.  This individual will have to interact across many levels of the organization (analyst, officers through executive level).\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1137414T1~99"
Senior Accountant,"<b>Responsibilities:</b> Kforce is seeking a Senior Accountant for a Philadelphia, Pennsylvania client. This is your opportunity to showcase your 'first-rate' accounting and people skills with one of Kforce's best clients. As Senior Accountant with a dynamic corporate accounting team you will enjoy working on the types of projects that initially brought you into the accounting world combined with the opportunity to collaborate with a variety of Internal Departments and Key Leaders throughout the Organization.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~AQG~1124921P1~99"
Receptionist,<strong>Receptionist - Part Time</strong><br />\r<br />\rLife Care Center of Melbourne<br />\r<br />\rImmediate part time opening for a receptionist for nights and weekends. Must also have flexibility of filling in during weekdays at times. We offer excellent pay.<br />\r<br />\r<br />
Java Developer,"<p><b>Infosys</b><span> is currently searching for a <b>Java Developer </b>to join their team in <b>Bentonville, AR.</b>&nbsp; Infosys is the business critical technology partner for the world&rsquo;s most successful organizations. As a global leader in Business Transformation, Infosys provides strategic business consulting, technology, engineering and outsourcing services to help clients leverage technology and create impactful and measurable business value for every IT investment.&nbsp; </span></p>\r<p><b><span>&nbsp;</span></b></p>\r<p><span style=""text-decoration: underline"">THIS POSITION IS LOCATED IN BENTONVILLE, AR.&nbsp; RELOCATION TO BENTONVILLE, AR, IS REQUIRED.&nbsp; RELOCATION ASSISTANCE IS AVAILABLE FOR QUALIFIED CANDIDATES.</span></p>\r<p><b><span>&nbsp;</span></b></p>\r<p><b><span>POSITION RESPONSIBILITIES:</span></b></p>\r<ul>\r    <li>Participate in estimation, staffing analysis and solutioning in order to provide inputs for preparing solution delivery for the proposal.\r    <li>Participate in discussions with customers to gather scope information and perform analysis of scope information in order to provide inputs for project scope documentation\r    <li>Participate in requirement elicitation process defined in the project management plan to identify requirement gaps/issues (both functional and non-functional) in order to come up with a comprehensive requirement document\r    <li>Perform high and Low level design , provides pseudo codes, Implements the prototypes and does design reviews in order to deliver design documents as per customer requirements\r    <li>Mentor the team in Technical Competencies and provides performance feedback of the individual team member to the Project Manager in order to manage performance\r    <li>Interface with the customer for issue resolution, provide status updates, Build customer confidence in team&rsquo;s ability to deliver in order to support high customer satisfaction </li>\r</ul>"
Cashier,"</strong>\r\n\r\n<p style='margin: 0px'>The primary purpose of this position is to provide excellent customer service to people shopping in Rite Aid stores. The incumbent is required to perform all tasks in a safe manner consistent with corporate policies and state and federal laws.</p><p style='margin: 0px'><strong>??</strong></p><p style='margin: 0px'><strong>The associate is responsible for the functions below, in addition to other duties as assigned:</strong></p><ul><li>Provide excellent customer service by assisting customers with their shopping needs, answering customer inquiries, and resolving customer complaints</li><li>Complete customer transactions on the cash register</li><li>Reconcile cash register drawers at the end of the shift</li><li>Ensure the appearance of the store is pleasing to the customer and meets the requirements of the corporate office, including all housekeeping tasks</li><li>Stock store shelves and end-caps with merchandise when it is delivered to the store</li><li>Ensure the proper identification is produced when selling alcohol, tobacco, and lottery tickets, if applicable</li><li>Assist with the operation of the One-hour Photo department, if applicable</li><li>Build displays of merchandise and complete new plan-o-grams sent from the corporate offices</li><li>Complete inventory counts and order merchandise based on the results</li><li>Put up signs that identify items on sale in weekly advertisements and take down this signage when the sale is over</li><li>Assist with price markdowns and changes for merchandise on the shelves</li></ul>\r\n\r\n<strong>Experience / Requirements:</strong>\r\n\r\n<p style='margin: 0px'><strong>The following qualities are required:</strong></p><ul><li>Ability to pass drug test</li><li>Committed to providing customer service that makes both internal and external customers feel welcome, important, and appreciated</li><li>Ability to preserve confidentiality of information</li><li>Ability and willingness to move with purpose and a strong sense of urgency</li><li>Ability to work weekends on a regular basis</li><li>Ability to work day, evening, or night shift(s)</li><li>Accuracy and attention to detail</li><li>Ability to organize and prioritize a variety of tasks/projects</li></ul><p style='margin: 0px'></p><p style='margin: 0px'><strong>The following qualities are helpful:</strong></p><ul><li>Ability to work extended days on a rare basis</li><li>Familiarity with industry/technical terms and processes</li></ul>\r\n\r\n<strong>Education:</strong>\r\n\r\n<p style='margin: 0px'>No prior experience or training is required</p>"
Store Manager,"<p><strong>Looking for a better opportunity? Looking for a better quality of life? Here it is!</strong></p>\r<p></p>\r<p>If you are ready for a challenging and exciting opportunity then take a moment to review this posting and send your resume to get the ball rolling.</p>\r<p></p>\r<p></p>\r<p align=""center"">The qualified candidate will possess the following:</p>\r<p></p>\r<p>?กค?????????????? 2+ years of Retail Store Manager experience </p>\r<p></p>\r<p>?กค?????????????? Strong people and leadership skills</p>\r<p></p>\r<p>?กค?????????????? Experience with payroll, scheduling, inventory, loss prevention, hiring, training and???????????????????????????? </p>\r<p>???????????????? development</p>\r<p></p>\r<p>?กค?????????????? Experience with increasing sales, making/exceeding sales goals</p>\r<p></p>\r<p>?กค?????????????? Superior customer service skills</p>\r<p></p>\r<p>?กค?????????????? Be hands on and pay attention to detail on and off the sales floor</p>\r<p></p>\r<p>?กค?????????????? Willing to learn and experience new things</p>\r<p></p>\r<p>?กค?????????????? Long term goals to grow within the company</p>\r<p></p>\r<p></p>\r<p align=""center"">***May consider strong Assistant Managers with proven track record***<strong></strong></p>\r<p></p>\r<p></p>\r<p>Apply so you can start earning a <strong>competitive compensation, phenomenal benefits</strong>, and a <strong>better quality of life.</strong></p>\r<p><strong>??</strong></p>\r<p>??All candidates that are ready for amazing opportunities please submit your resume in Word format </p>"
Sales Representative,"<p><span style="""">Primrose Oil Company, a 95 yr. old organization, seeks sales reps for commercial, industrial, agricultural and construction accounts. Excellent commissions, opportunity for advancement w/benefits.?? Training provided. </span><span style="""">Interested candidates email your resume to <a href=""mailto:schoate@primrose.com"">schoate@primrose.com</a> for info packet. </span></p>\r<br />"
Store Manager,"Store Manager <br />\r<br />\rJoin a leader in the Pawn industry. Have fun, learn our business and build your career. We are a very stable Company that??is financially strong and offers an opportunity for a long-term career.?? <br />\r<br />\r<br />\rEssential Duties and Responsibilities: <br />\r<br />\rProvides and promotes??excellent customer service.<br />\rMaintains a professional and productive work environment <br />\rEffectively executes the sales process. <br />\rEffectively executes the lending process. <br />\rEffectively executes daily store opening and closing procedures. <br />\rSupervises other store associates. <br />\rMaximizes store profitability."
Senior Accountant,"<p><b><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Seeking Internal Senior Accoutant for Corporate office located in Calabasas, CA <br>\r<br>\r<br>\rSUMMARY:&nbsp; </span></b><span>Applies principles of accounting to analyze financial information and prepare financial reports.</span></p>\r<p>&nbsp;</p>\r<p><b><span>ESSENTIAL DUTIES AND RESPONSIBILITIES </span></b><span>include the following. Other duties may be assigned.</span></p>\r<p>&nbsp;</p>\r<ul>\r    <li><span>Compiles and analyzes financial information to prepare entries to accounts, such as general ledger accounts, documenting business transactions.</span>\r    <li><span>Work with Accounting Manager to ensure proper recording and reporting of monthly results </span>\r    <li><span>Prepare monthly and quarterly reporting schedules for internal and external reporting purposes </span>\r    <li><span>Reviews, investigates, and corrects errors and inconsistencies in financial entries, documents, and reports.</span>\r    <li><span>Makes recommendations regarding the accounting of reserves, assets, and expenditures.</span>\r    <li><span>Assist in process change, improvements, and new system integrations</span>\r    <li><span>Work with department to ensure compliance with SOX requirements </span>\r    <li><span>Assist in providing information to internal and external auditors </span>\r    <li><span>Communicate with team members from other divisions as well as external sources</span>\r    <li><span>Ad hoc reporting and analysis as needed</span> </li>\r</ul>"
